Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
harassment	/'hærәsmәnt/	n. 困扰, 烦扰, 烦恼	n. a feeling of intense annoyance caused by being tormented	1	1	[S08E11] Tomorrow night it is then, I should be out of court by six. They keep throwing these sexual harassment cases at me and I	S08E11(1)
harbor	/'hɑ:bә/	n. 港, 避难所	n. a place of refuge and comfort and security	1	1	[S08E14] Well, it’s not your fault. What are you gonna do? Not take her to the hospital? Y’know? You’re doing nothing wrong.  Exc	S08E14(1)
hardball	/'hɑ:dbɔ:l/	n. 硬式棒球（等于baseball）；（为达到某种目的而采取的）强硬手段；[俚]刀剑搏杀	n. a no-nonsense attitude in business or politics	1	1	[S02E09] You mean hardball?	S02E09(1)
harder		a. 更难的；更努力的；更坚固的（hard的比较级）	a not easy; requiring great physical or mental effort to accomplish or comprehend or endure	29	25	[S01E02] Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the ◆ [S01E21] Oh God.  We didn't get into Scranton.  That was like our safety zoo. They take like dogs and cows. See? I don't know who ◆ [S01E23] Come on, Lydia, you can do it. Push! Push 'em out, push 'em out, harder, harder. Push 'em out, push 'em out, way out! Le ◆ [S02E09] It was your mother's idea. Ya know, she didn't want you to know your real father because it hurt her so much when he lef ◆ [S02E15] Listen can you guys uh, speak up, it's harder for us to hear you when you lower your voice.	S01E02(1), S01E21(1), S01E23(2), S02E09(2), S02E15(1), S02E23(1), S03E11(1), S04E11(1), S04E17(1), S04E23(1), S04E23-uncut(1), S05E03(1), S05E11(1), S05E15(1), S06E06(1), S06E15-E0616(1), S07E08(1), S08E16(1), S08E23(2), S09E17(2), S09E22(1), S10E01(1), S10E06(1), S10E12(1), S10E17-E1018(1)
hardest		a. 极难	a not easy; requiring great physical or mental effort to accomplish or comprehend or endure	11	11	[S03E11] Dear Mary-Angela. Hi. How’s it going. This is the hardest letter I’ve ever had to write.  What the hell’s a matter with  ◆ [S03E13] Y'know what, I’ve got to walk out of here right now, ‘cause getting over you is the hardest thing that I have ever had t ◆ [S05E03] So, here you are. It seems like yesterday I was talking to you in that little petri dish. Everyone said labor was the ha ◆ [S06E13] I just had the hardest day. Those bags are so heavy. ◆ [S06E24] But getting over was the hardest thing that I’ve ever had to do. And I never let myself think about you.	S03E11(1), S03E13(1), S05E03(1), S06E13(1), S06E24(1), S07-Outtakes(1), S07E23(1), S08E09(1), S08E21(1), S09E04(1), S09E06(1)
hardly	/'hɑ:dli/	adv. 刚刚, 几乎不, 勉强是	r. almost not	11	11	[S01E01] Want a wedding dress? Hardly used. ◆ [S03E20] Oh, nothing, he’s just goofy like that, I actually, hardly notice it anymore. ◆ [S03E24] I don’t know, I hardly ever say that about people. ◆ [S04E22] Oh yeah-yeah. And I got the duck totally trained. Watch this. Stare at the wall.  Hardly move.  Be white. ◆ [S05E10] Ohh, they gave me a great spot. Right by Macys. Yeah, they hardly ever give such a good spot to a rookie, but I’m the on	S01E01(1), S03E20(1), S03E24(1), S04E22(1), S05E10(1), S06E18(1), S07E23(1), S08E10(1), S10E05(1), S10E12(1), S10E13(1)
hardwood	/'hɑ:dwud/	n. 硬木, 硬木材, 阔叶材, 落叶树	n. the wood of broad-leaved dicotyledonous trees (as distinguished from the wood of conifers)	1	1	[S03E20] Look at it! Ohhh! Wallpaper’s a little faded, that’s okay. Carpet’s a little loose. Hardwood floors!!	S03E20(1)
hardy	/'hɑ:di/	a. 难的, 艰苦的, 坚硬的, 勇敢的	n. United States slapstick comedian who played the pompous and overbearing member of the Laurel and 	1	1	[S03E05] Hardy Boy.	S03E05(1)
harm	/hɑ:m/	n. 伤害, 害处	v. cause or do harm to	5	4	[S06E04] Oh well, no harm, no foul. ◆ [S06E22] Well, I mean I guess there is no harm in putting my name down. ◆ [S08E03] Well I guess there is no harm in telling you now, Rachel and Ross are gonna have a baby. ◆ [S09E17] I gotta call him. Just to talk to him, there's no harm in that.	S06E04(1), S06E22(2), S08E03(1), S09E17(1)
harmonica	/hɑ:'mɒnikә/	n. 口琴, 玻璃钟琴	n. a small rectangular free-reed instrument having a row of free reeds set back in air holes and pla	1	1	[S07E14] I really like to say that I’m-um…  Y’know what I’d really like to say? I’m drunk!!  That’s right mom and dad your little	S07E14(1)
harpist	/'hɑ:pist/	n. 竖琴师	n. someone who plays the harp	2	1	[S10E12] Please... honey, leave the details to me. Now I wanna make this day as special for you as I can. Now, ok, I was thinking	S10E12(2)
harrison	/'hærisn/	n. 哈里森（男子名, 哈里之子）	n. English actor on stage and in films (1908-1990)	1	1	[S06E22] Okay! Okay, look! You-you-you got Harrison Ford up there!	S06E22(1)
harsh	/hɑ:ʃ/	a. 粗糙的, 刺耳的, 严厉的	s. unpleasantly stern	4	4	[S02E14] I can't believe I don't get to go to my own prom, this is so harsh. ◆ [S06E21] And anyhow, I’m sorry I was so harsh before, but you have to understand that I  still look at Lizzie like she’s a twelve ◆ [S10E03] Oh, I guess we could try that, but... it seems so harsh!  Have you ever done that? ◆ [S10E16] Good! Now I need you to be careful and efficient. And remember, if I am harsh with you, it is only because you are doing	S02E14(1), S06E21(1), S10E03(1), S10E16(1)
harshly	/'hɑ:ʃli/	adv. 粗糙地, 粗暴地, 刺耳地	r. in a harsh or unkind manner	1	1	[S09E08] Hey. Amy. You've got to stop doing that. <Amy gets pissed and starts cutting food on the fancy plate very harshly, you c	S09E08(1)
harvard	/'hɑ:vәd/	n. 哈佛大学	n. American philanthropist who left his library and half his estate to the Massachusetts college tha	1	1	[S09E20] Ooh... so sad... Still, it can't be easy for you to leave Harvard? Especially after working alongside a Nobel Prize winn	S09E20(1)
hassidic	/hә'sidik/	a. [宗](犹太教)哈西德派的	a of or relating to the Jewish Hasidim or its members or their beliefs and practices	1	1	[S01E03] Yep, we sure showed those Hassidic jewellers a thing or two about softball..	S01E03(1)
hasty	/'heisti/	a. 匆匆的, 轻率的, 性怠的	s. excessively quick	2	2	[S04E19] I mean, we know it’s a bit hasty but, uh, it just feels so right, so… ◆ [S04E20] Well, yeah, right, y’know what? Yeah, you’re right, I mean, we no, we have our fun. Yeah! But if ……I mean, I mean like c	S04E19(1), S04E20(1)
hat	/hæt/	n. 帽子	n. headdress that protects the head from bad weather; has shaped crown and usually a brim	126	70	[S01E01] C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a s ◆ [S01E03] Would you like my tin-foil hat? ◆ [S01E08] Pheebs, could you maybe hand me a cracker? Mrs. Geller:  Your grandmother would have hated this. ◆ [S01E11] Nice hat. Monica and Phoebe:  Thanks. ◆ [S01E15] Thanks, Phoebe. But I just don't really see myself in a big white hat.	S01E01(2), S01E03(1), S01E08(1), S01E11(1), S01E15(1), S01E19(1), S01E20(1), S01E21(1), S01E22(1), S02E03(1), S02E06(3), S02E10(1), S02E12-E0213(2), S02E14(3), S02E16(1), S02E17(3), S02E19(1), S02E21(15), S02E22(1), S03E02(1), S03E04(1), S03E08(7), S03E15(1), S03E19(1), S03E21(1), S03E25(6), S04E10(1), S04E11(1), S04E23(4), S04E23-uncut(5), S05E02(1), S05E07(6), S05E08(2), S05E13(2), S05E14(1), S05E15(1), S05E18(1), S05E23(1), S06E03(1), S06E08(1), S06E11(7), S06E18(1), S06E20(1), S06E24(1), S07E03(1), S07E12(1), S07E13(1), S07E15(1), S07E20(1), S07E23(1), S08E01(1), S08E09(2), S08E10(1), S08E13(1), S08E15(1), S08E19(2), S08E21(1), S08E22(1), S09E11(1), S09E12(1), S09E13(1), S09E19(1), S09E20(1), S09E21(1), S09E23-E0924(1), S10E05(1), S10E06(1), S10E09(1), S10E10(2), S10E11(1)
hate	/heit/	n. 憎恨, 恨, 厌恶	n. the emotion of intense dislike; a feeling of dislike so strong that it demands action	182	101	[S01E01] Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex!  So? Who? ◆ [S01E02] You look great. I, uh... I hate that. ◆ [S01E05] Ooh, I hate when my father calls me that. ◆ [S01E07] Oh no, the Mendels, they hate all living things, right? ◆ [S01E09] Oh, I hate this story.	S01E01(4), S01E02(2), S01E05(1), S01E07(2), S01E09(1), S01E10(1), S01E12(2), S01E13(6), S01E16(1), S01E17(2), S01E18(2), S01E19(3), S02E01(2), S02E02(2), S02E06(1), S02E12-E0213(1), S02E16(2), S02E17(1), S02E23(4), S03E01(5), S03E04(1), S03E07(1), S03E10(3), S03E11(5), S03E12(1), S03E14(3), S03E18(2), S03E19(4), S03E21(1), S03E22(1), S04E02(1), S04E06(1), S04E10(2), S04E12(1), S04E13(4), S04E17(1), S04E19(6), S04E20(1), S04E23-uncut(1), S05E01(1), S05E03(1), S05E04(1), S05E05(1), S05E06(6), S05E07(1), S05E08(1), S05E09(1), S05E12(1), S05E19(1), S05E20(3), S05E23(1), S06E06(2), S06E08(1), S06E09(1), S06E11(1), S06E14(1), S06E15-E0616(3), S06E17(1), S06E21(2), S06E22(1), S06E24(3), S07-Outtakes(1), S07E03(1), S07E06(1), S07E08(4), S07E10(1), S07E11(1), S07E13(1), S07E15(1), S07E16(2), S07E17(1), S07E20(1), S07E23(1), S08E08(1), S08E09(8), S08E10(1), S08E11(2), S08E13(1), S08E14(1), S08E15(1), S08E16(4), S08E20(1), S08E21(1), S08E23(2), S09E05(1), S09E13(1), S09E14(1), S09E16(1), S09E18(1), S09E19(1), S09E20(1), S09E21(2), S10E01(1), S10E02(1), S10E04(2), S10E06(2), S10E08(1), S10E12(1), S10E13(1), S10E14(4), S10E17-E1018(1)
hatless	/'hætlis/	a. 不戴帽子的	a. not wearing a hat	1	1	[S05E07] Hey, you should really read that book you wrote.  Wow! You saw the hat in the kitchen and knew that she'd have to go in 	S05E07(1)
haul	/hɒ:l/	n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离	v. draw slowly or heavily	3	3	[S01E13] Hey, how long are you in the city? Mr. Tribbiani: Just for a coupla days. I got a job midtown. I figure I'm better off s ◆ [S07E14] Okay. Okay, here’s what we’re gonna do. Okay, I’m gonna break into this mini-van and put it in neutral. You guys push it ◆ [S10E17-E1018] Not with that attitude! Now, haul ass!	S01E13(1), S07E14(1), S10E17-E1018(1)
haunt	/hɒ:nt/	n. 常到的地方, 生息地	n. a frequently visited place	6	5	[S06E04] No-no, it’ll be fun! We can come back and we can haunt these guys! ◆ [S08E15] You know, it haunts me? Up ‘til now, the worst thing I ever saw, was my father doing tequila shots off the naked housebo ◆ [S09E17] It's been an hour and not one of my classmates has shown up! I tell you, when I actually die some people are gonna get s ◆ [S10E06] Alright, fine. You can keep it. As long as you don't mind that she's haunted. ◆ [S10E14] Uhm... oh! Okay. You come with me, and you tell them that the house is haunted!	S06E04(1), S08E15(1), S09E17(1), S10E06(2), S10E14(1)
hauser		豪泽； 霍瑟		1	1	[S02E23] If I had one wish, it would be to build a time machine, go back to when I was 7, when Jimmy Hauser had the chicken pox. 	S02E23(1)
havana	/hә'vænә/	n. 哈瓦那, 哈瓦那雪茄烟	n. the capital and largest city of Cuba; located in western Cuba; one of the oldest cities in the Am	1	1	[S02E24] At the Copa, Copa Cabana  The hottest spot north of Havana. At the Copa, Coo-pa Ca-ban-a, music and fashion were always 	S02E24(1)
havin		n. (Havin)人名；(挪)哈温		12	10	[S01E09] Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner? What, what, what is it with you and this holid ◆ [S01E16] I always knew I was havin’ a baby, I just never realised the baby was having me. ◆ [S01E23] Yeah, so, uh, so, uh, what's the deal with this father guy, I mean, if someone was havin' my baby somewhere, I'd wanna k ◆ [S02E01] Look, you were right. She looks at me and sees a friend, that's all. But then I met Julie, and I don't know, we're havin ◆ [S02E04] Ahh, alright, alright, alright, I was young and I just wanted a job, OK. But at the last minute I couldn't go through wi	S01E09(1), S01E16(1), S01E23(1), S02E01(1), S02E04(1), S02E16(2), S02E17(2), S05E02(1), S07E11(1), S08E19(1)
hawaiian	/hә'waiiәn/	n. 夏威夷人, 夏威夷语	n. the Oceanic languages spoken on Hawaii	1	1	[S10E03] oh oh! What is up with Miss Hawaiian Tropic?	S10E03(1)
hay	/hei/	n. 干草	n. grass mowed and cured for use as fodder	4	2	[S02E14] Would you stop already? Get out of the bitter barn and play in the hay. ◆ [S08E10] Well, why don’t you check in one of my saddlebags while I chew on a bale of hay!	S02E14(3), S08E10(1)
hazard	/'hæzәd/	n. 冒险, 危险, 机会	n. a source of danger; a possibility of incurring loss or misfortune	1	1	[S06E03] That thing was a hazard!  I’m very safety conscious.	S06E03(1)
haze	/heiz/	n. 薄雾, 阴霾, 疑惑	n. atmospheric moisture or dust or smoke that causes reduced visibility	4	1	[S09E15] With Lennart Haze?	S09E15(4)
hazel	/'heizl/	n. 榛子, 榛树, 淡褐色	n. Australian tree grown especially for ornament and its fine-grained wood and bearing edible nuts	1	1	[S03E05] Okay sir, um-mm, let see if I got this right. Ah, so this is a half-caf, double tall, easy hazel nut, non-fat, no foam, 	S03E05(1)
hazelnut	/'heizlnʌt/	n. 榛实	n. any of several shrubs or small trees of the genus Corylus bearing edible nuts enclosed in a leafy	2	1	[S06E15-E0616] He’s not boring! He’s just-he’s just low key. Monica's Boyfriend:  Here we go, one Hazelnut Latte.	S06E15-E0616(2)
headache	/'hedeik/	n. 头痛, 令人头痛之事	n. pain in the head caused by dilation of cerebral arteries or muscle contractions or a reaction to 	8	3	[S03E05] Oh, well um, not right now. Y'know I’m just gonna go to bed, I think the fumes are giving me a headache. ◆ [S05E12] How does that laugh not give you a headache? ◆ [S07E16] Oh, I have a headache. A horrible headache!	S03E05(1), S05E12(1), S07E16(6)
headboard	/'hedbɒ:d/	n. 床头板	n. a vertical board or panel forming the head of a bedstead	2	2	[S03E08] Oh yeah! Y'know, if it’s not a headboard, it’s just not worth it. ◆ [S09E07] Oh no, no, no, no, no, no. Don't get me wrong. No, he's not in like a sissy way. No, no, no... when he gets going, he ca	S03E08(1), S09E07(1)
headdress	/'heddres/	a. 饰头巾, 头式	n. clothing for the head	1	1	[S07E22] No-no all kids are embarrassed by their parents, you’d have to come up with a whole new word for what I went through. Wh	S07E22(1)
headhunter	/'hedhʌntә/	n. (原始社会中)猎取人头者, 物色人才的人	n. a recruiter of personnel (especially for corporations)	2	2	[S08E20] Well Joey, I’m a headhunter. I hook up out of work Soviet scientists with rogue third-world nations. Hi Rasputin! ◆ [S10E14] Hey you guys... You're never gonna believe it. This headhunter called me. I have a meeting tomorrow with Gucci. Gucci wa	S08E20(1), S10E14(1)
headin		un. 顶球入门		1	1	[S03E05] Hey! Where ‘ya headin’ in those pants? 1982?	S03E05(1)
headline	/'hedlain/	n. 大标题, 新闻摘要	n. the heading or caption of a newspaper article	1	1	"[S09E18] I can see the headline now: ""Lottery winners' friend filled with regret eats own arm""."	S09E18(1)
headliner	/'hed,lainә(r)/	n. (报纸)写标题的记者	n. a performer who receives prominent billing	1	1	[S06E09] He’s the headliner of a gay burlesque show.	S06E09(1)
headrest	/'hedrest/	n. 头靠, 弹性头垫	n. a cushion attached to the top of the back of an automobile's seat to prevent whiplash	1	1	[S07E13] Yeah? Wow! Y’know, that this thing has speakers in the headrest!	S07E13(1)
headset	/'hedset/	n. (一副)耳机	n. receiver consisting of a pair of headphones	3	2	[S04E08] Oh wow, eight hours? So you could probably really use one of those plug-in telephone headsets huh? ◆ [S10E12] Oh, is that so? Ok. If that's really what you want, then here... I give you the headset. Well, I don't really want to gi	S04E08(1), S10E12(2)
headshot	/hed'ʃɒt/	拍摄头部	n. a photograph of a person's head	2	1	[S09E13] Hey! Let me ask you guys something. I have a new headshot taken tomorrow right and the photographer said she thinks I sh	S09E13(2)
headway	/'hedwei/	n. 前进, 航行速度, 进展	n. forward movement	1	1	[S04E10] I thought I was making headway, everyone was smiling at me all day, I get off work and I find out that they wrote this  	S04E10(1)
heal	/hi:l/	vi. 痊愈	v. get healthy again	3	3	[S05E22] Well, wait a minute! The puss is good! It means it's healing! ◆ [S06E04] Dude! Hernia operations cost like, a lot probably. Besides it’s getting darker and more painful, that means it’s healing ◆ [S10E09] Uh, good hands.  Healing hands.	S05E22(1), S06E04(1), S10E09(1)
healthy	/'helθi/	a. 健康的, 有益健康的, 卫生的	a. having or indicating good health in body or mind; free from infirmity or disease	26	22	"[S01E09] Oh, wow, so you're gonna be one of those ""healthy, healthy, healthy guys""? ◆ [S01E12] Totally and completely healthy! ◆ [S02E06] Well, you know, honey, I don't think everybody gets Smelly Cat. You know, I mean, if all you've ever actually had are he ◆ [S02E12-E0213] Well, I tracked down Marcel and get this, he's healthy, he's happy, and he's right here in New York filming Outbreak II  ◆ [S03E05] Ah, the heart of every healthy relationship. Honesty, respect, and sex with celebrities."	S01E09(3), S01E12(1), S02E06(1), S02E12-E0213(1), S03E05(1), S03E13(1), S03E18(1), S03E22(1), S03E25(1), S05E03(1), S05E07(1), S06E13(2), S06E15-E0616(1), S06E24(1), S07E02(1), S07E22(1), S08E13(2), S09E04(1), S09E07(1), S09E14(1), S09E22(1), S10E09(1)
